,categories,seedwords,words,rseeds
10,cheerfulness,['pride'],"['pride', 'ignorance', 'spite', 'hatred', 'loathing', 'wickedness', 'shame', 'ambition', 'sorrow', 'acceptance', 'loyalty', 'selfconfidence', 'adoration', 'expectation', 'bravery', 'optimism', 'stubbornness', 'wealth', 'betrayal', 'bravado', 'youth', 'purity', 'kindness', 'grief', 'integrity', 'arrogance', 'innocence', 'humiliation', 'boldness', 'apathy', 'satisfaction', 'deception', 'greed', 'cruelty', 'independence', 'determination', 'insecurity', 'superiority', 'selfishness', 'bitterness', 'remorse', 'triumph', 'protectiveness', 'mockery', 'confidence', 'eagerness', 'glory', 'scorn', 'compassion', 'admiration', 'masculinity', 'fear', 'desire', 'brutality', 'naught', 'dislike', 'elation', 'defiance', 'conviction', 'dignity', 'humility', 'menace', 'intimidation', 'cheerfulness', 'empathy', 'cowardice', 'accomplishment', 'happiness', 'despair', 'aggression', 'reverence', 'gratitude', 'fondness', 'certainty', 'malice', 'resentment', 'vulnerability', 'wisdom', 'generosity', 'devotion', 'contempt', 'weakness', 'unhappiness', 'desperation']",[12]
11,aggression,['hateful'],"['downright', 'borderline', 'cruel', 'spiteful', 'petty', 'bitchy', 'unwanted', 'pompous', 'bratty', 'pitiful', 'condescending', 'insufferable', 'judgmental', 'cowardly', 'ignorant', 'moronic', 'hostile', 'cryptic', 'controlling', 'merciless', 'narcissistic', 'perverted', 'boastful', 'bitter', 'manipulative', 'unkind', 'murderous', 'hateful', 'dishonest', 'disgraceful', 'selfish', 'hurtful', 'vengeful', 'uncaring', 'vulgar', 'defiant', 'pessimistic', 'snobbish', 'mean', 'repulsive', 'snide', 'pretentious', 'compassionate', 'careless', 'apathetic', 'inhumane', 'unforgiving', 'volatile', 'juvenile', 'callous', 'demeaning', 'extreme', 'passive', 'disrespectful', 'egotistical', 'pathetic', 'unreasonable', 'obsessive', 'inconsiderate', 'sexist', 'possessive', 'tendencies', 'overbearing', 'hypocritical', 'heartless', 'arrogant', 'shameful', 'tolerant', 'insulting', 'obnoxious', 'untrustworthy', 'empathetic', 'brash', 'sadistic', 'fickle', 'temperamental', 'harsh', 'egoistic', 'sympathetic', 'vicious', 'insensitive', 'rebellious', 'infuriating', 'degrading', 'resentful', 'materialistic', 'belligerent', 'destructive', 'impulsive', 'unloved', 'snarky', 'despicable', 'judgemental', 'malicious', 'irrationally', 'aggression', 'unfriendly', 'violent', 'brutal', 'ruthless', 'cynical', 'uneducated', 'ungrateful', 'thoughtless', 'prideful', 'vindictive', 'demented', 'conceited', 'idiotic', 'deceitful', 'vain', 'selfless', 'psychotic', 'crude']",[81]
12,occupation,['attorney'],"['governor', 'occupation', 'attorney', 'associate', 'successor', 'specialist', 'congress', 'payment', 'colleague', 'lawsuit', 'school_board', 'personal_assistant', 'senator', 'police_force', 'compensation', 'chief', 'judge', 'annulment', 'oversee', 'personal_guard', 'ambassador', 'petition', 'accountant', 'jurisdiction', 'chairman', 'administrator', 'executive', 'inheritance', 'revoked', 'investigator', 'surgeon', 'buyer', 'intern', 'employer', 'senate', 'seller', 'investment', 'investigation', 'associates', 'ownership', 'protocol', 'candidate', 'solicitor', 'mercenary', 'jury', 'technician', 'counsellor', 'warrant', 'informant', 'government', 'agency', 'superintendent', 'president', 'politician', 'representative', 'appointed', 'employed', 'cabal', 'debtor', 'businessman', 'authorized', 'employment', 'corporation', 'policy', 'contractor', 'creditor', 'prosecutor', 'physician', 'lawyers', 'client', 'police_department', 'financial', 'establishment', 'benefactor', 'prosecution', 'donation', 'communications', 'administration', 'lawyer', 'department', 'supervisor', 'fbi', 'agent', 'banker', 'engineer', 'testimony', 'advisor', 'higher_ups', 'interpreter', 'assistant', 'institution', 'accomplice', 'services', 'consultant', 'defendant']",[28]
13,envy,['hateful'],"['impulsive', 'cruel', 'hurtful', 'vengeful', 'overbearing', 'envy', 'uncaring', 'snarky', 'spiteful', 'vulgar', 'judgemental', 'malicious', 'petty', 'heartless', 'arrogant', 'unfriendly', 'pitiful', 'ruthless', 'untrustworthy', 'cynical', 'judgmental', 'careless', 'thoughtless', 'vindictive', 'sadistic', 'demented', 'inhumane', 'idiotic', 'harsh', 'ignorant', 'unforgiving', 'hostile', 'vicious', 'insensitive', 'controlling', 'callous', 'demeaning', 'narcissistic', 'psychotic', 'degrading', 'manipulative', 'unkind', 'resentful', 'hateful', 'bitter', 'crude', 'inconsiderate']",[37]
14,anticipation,['apprehensive'],"['perturbed', 'tensed', 'conflicted', 'doubtful', 'agitated', 'hopeful', 'anxious', 'daunting', 'irritated', 'sceptical', 'unnerving', 'reassured', 'skeptical', 'perplexed', 'weary', 'intrigued', 'alarmed', 'guarded', 'unsure', 'displeased', 'discouraged', 'aggravated', 'angered', 'appalled', 'unsettled', 'peeved', 'irate', 'anticipation', 'concerned', 'fidgety', 'relieved', 'panicky', 'nervous', 'fearful', 'elated', 'indifferent', 'hesitant', 'saddened', 'frightened', 'wary', 'disturbed', 'antsy', 'solemn', 'inquisitive', 'curious', 'troubled', 'sullen', 'intimidated', 'disheartened', 'cautious', 'distressed', 'uneasy', 'remorseful', 'sympathetic', 'hostile', 'distraught', 'flustered', 'disappointed', 'unnerved', 'subdued', 'skittish', 'uncertain', 'miffed', 'reluctant', 'astounded', 'unsettling', 'regretful', 'resentful', 'apprehensive', 'dejected', 'irritable', 'puzzled', 'shaken', 'astonished']",[35]
15,family,['aunt'],"['family', 'mum_and_dad', 'aunty', 'social_worker', 'adoptive_parents', 'aunts', 'foster_parents', 'father', 'older_sister', 'karen', 'auntie', 'mums', 'younger_sister', 'great_aunt', 'grandma', 'grandpa', 'mum', 'nanny', 'mother', 'foster_mother', 'brother', 'whole_family', 'foster', 'family_friend', 'grandfather', 'stepmother', 'daughter', 'granny', 'anne', 'grandparents', 'new_husband', 'moms', 'cousins', 'parent', 'sisters', 'gran', 'aunt', 'niece', 'step_mom', 'sister', 'foster_mom', 'mom', 'grandmothers', 'husband', 'adoptive_mother', 'stepmom', 'grandad', 'grandparent', 'marie', 'parents', 'cousin', 'dad', 'uncle', 'little_sister', 'new_wife', 'stepdad', 'step_dad', 'grandmother', 'granddad', 'uncles', 'stepfather', 'step_mother']",[71]
16,vacation,['hangout'],"['bunking', 'carpool', 'lunch_date', 'girls_day', 'vacation', 'chat', 'bowling', 'hangout', 'party_thing', 'o2l_house', 'askedwell', 'ice_skating', 'sometime', 'skype', 'double_dates', 'collab', 'invite', 'pool_party', 'facetime', 'skate_park', 'water_park', 'beach_party', 'hang', 'invited', 'double_date', 'real_date', 'talk', 'sleepovers', 'something_fun', 'couple_friends', 'house_party', 'friday', 'text', 'spend', 'next_weekend', 'band_practice', 'school_dance', 'afterschool', 'bunk', 'date', 'camping', 'visit', 'family_dinner', 'chill', 'girl_time', 'party', 'dress_shopping', 'movie_day', 'eachother', 'cool', 'few_friends', 'sleepover', 'more_friends', 'movie_night', 'meet', 'play_date', 'this_weekend', 'homecoming', 'prom', 'free_day', 'little_get', 'clubbing', 'tutor', 'magcon', 'rooming', 'prank', 'shop', 'hockey_game', 'babysit', 'alone_time', 'exchange_numbers', 'suprise', 'school_shopping', 'little_date', 'tour', 'movie_marathon', 'third_wheel', 'freinds', 'girls_night', 'vidcon', 'breakup', 'dinner_date', 'vist', 'bonding_time', 'meat', 'girl_friends', 'youth_group', 'tag', 'ditch', 'second_date', 'slumber_party']",[58]
17,crime,['corruption'],"['holistic', 'nobility', 'human_soul', 'humanity', 'divinity', 'injustice', 'derived', 'captivity', 'dwells', 'blight', 'populace', 'oneself', 'human_race', 'conception', 'catalyst', 'revolt', 'corruption', 'mortality', 'sufferings', 'enmity', 'wickedness', 'ambition', 'destruction', 'downfall', 'therein', 'peril', 'treachery', 'thrived', 'hypocrisy', 'eradicated', 'equality', 'exile', 'manifest', 'imprisonment', 'unrest', 'embodiment', 'blindness', 'damnation', 'exposure', 'mankind', 'fulfillment', 'adversity', 'penance', 'morality', 'desires', 'warfare', 'propaganda', 'vengeance', 'knowledge', 'extinction', 'nation', 'rebirth', 'strife', 'thrive', 'wealth', 'attain', 'manifestation', 'sorcery', 'delusions', 'purity', 'worship', 'integrity', 'exclusion', 'persecution', 'deterioration', 'brethren', 'discrimination', 'deception', 'preserving', 'cruelty', 'greed', 'causes', 'democracy', 'rebellion', 'ideals', 'anarchy', 'wholly', 'attained', 'affliction', 'vitality', 'slavery', 'poverty', 'blossoming', 'unity', 'bloodshed', 'pettiness', 'enlightenment', 'prosperity', 'empire', 'human_life', 'transcend', 'borne', 'magnitude', 'crime', 'avarice', 'discord', 'delusion', 'capacity', 'virtue', 'famine', 'universal', 'intellect', 'prejudice', 'redemption', 'cosmic_consciousness', 'restoration', 'brutality', 'enslaved', 'whereby', 'eradicate', 'humility', 'human_nature', 'bondage', 'resurrection', 'devastation', 'necessity', 'righteousness', 'liberation', 'cowardice', 'condemned', 'thus', 'possessing', 'demise', 'heroism', 'imposed', 'yagya', 'individuality', 'isolation', 'afflicted', 'potency', 'deceit', 'association', 'culmination', 'vampirism', 'deeds', 'corrupt', 'reign', 'thereby', 'invoked', 'tyranny', 'realm', 'governed', 'exploitation', 'limitations', 'own_power', 'dominion', 'humankind', 'utopia', 'essence', 'corrupted', 'oppression', 'vices', 'salvation', 'preservation', 'entity', 'cosmos']",[71]
18,attractive,['lovely'],"['marvelous', 'exquisite', 'posh', 'lovely_woman', 'beautifull', 'terrific', 'great', 'lovely', 'wonderful', 'adorable', 'beautiful', 'lovely_person', 'fab', 'fantastic', 'darling', 'ravishing', 'fabulous', 'incredible', 'delightful', 'wonderfully', 'marvellous', 'glorious', 'jolly', 'magnificent', 'awesome', 'sweet', 'lovely_girl', 'charming', 'splendid', 'amazing', 'dear', 'breathtakingly', 'nice', 'attractive', 'handsome', 'enchanting', 'pretty', 'breathtaking', 'perfect', 'brilliant', 'outstanding', 'gracious', 'gorgeous', 'good', 'welcome', 'stunning']",[56]
19,masculine,['scruffy'],"['wiry', 'unruly', 'wrinkled', 'unkempt', 'dishevelled', 'greased', 'stocky', 'layered', 'masculine', 'frizzy', 'ruffled', 'almost_black_hair', 'gelled', 'stylishly', 'rumpled', 'bushy', 'medium_length', 'ratty', 'untidy', 'back_hair', 'sideburns', 'grayish', 'mussed', 'slender', 'olive_skin', 'bony', 'tousled', 'shaggy', 'chestnut', 'mousy', 'unshaven', 'brownish', 'scruffy', 'graying', 'lanky', 'tall', 'oily', 'floppy', 'slight_tan', 'chunky', 'greasy', 'pudgy', 'medium_height', 'disheveled', 'goatee', 'auburn', 'blond', 'spiky', 'balding', 'unkept', 'unwashed', 'stringy', 'tan', 'messy', 'gray_hair', 'windswept', 'greying', 'strong_features', 'rugged', 'wrinkly']",[20]
20,prison,['ward'],"['caretaker', 'prisoners', 'bedchamber', 'surgeons', 'hospital', 'attendants', 'presumably', 'helpers', 'prison', 'interrogation_room', 'conference_room', 'meeting_room', 'cell', 'nurses', 'staff', 'living_quarters', 'labour', 'patients', 'u2019s_office', 'morgue', 'healers', 'quarters', 'offices', 'emergency_room', 'household', 'residence', 'lab', 'icu', 'surgeon', 'facility', 'dungeon', 'wheelchair', 'officials', 'manor', 'ward', 'wards', 'midwife', 'chapel', 'palace', 'orderlies', 'hospital_room', 'office', 'doctors', 'guards', 'throne_room', 'institute', 'dungeons', 'physician', 'hospital_wing', 'operating_room', 'chamber', 'establishment', 'compound', 'safe_house', 'infirmary', 'officers', 'reception_area', 'asylum', 'headquarters', 'other_nurses', 'holding_cell', 'unit', 'laboratory', 'doctor', 'medics', 'nurse', 'healer', 'courtroom', 'estate', 'premises', 'chambers', 'cells', 'other_doctors', 'caravan', 'clinic', 'barracks', 'operation_room', 'patient', 'confinement']",[51]
21,health,['diagnosis'],"['absences', 'ptsd', 'syndrome', 'time_frame', 'social_interaction', 'psychological', 'separation', 'occurrences', 'dementia', 'specialist', 'health_issues', 'relapse', 'psychologist', 'psychiatrist', 'brain_activity', 'critical', 'migraines', 'donor', 'suicide_attempt', 'experimentation', 'onset', 'ordeal', 'recent_events', 'traumatic_experience', 'several_weeks', 'birthing', 'conception', 'epilepsy', 'diagnose', 'brain_damage', 'procedure', 'undergo', 'termination', 'heart_condition', 'usage', 'chemo', 'severity', 'disorder', 'undergoing', 'mental_illness', 'complications', 'trials', 'traumatic', 'rehabilitation', 'psychologists', 'phenomenon', 'blindness', 'treatments', 'blackouts', 'experience', 'anemia', 'anxiety_disorder', 'treatment', 'counseling', 'chemotherapy', 'bipolar_disorder', 'tumor', 'health', 'tumour', 'diagnosis', 'breakthrough', 'transplant', 'hospitalized', 'mental_health', 'blood_tests', 'time_travel', 'side_effects', 'results', 'resolution', 'therapy', 'administered', 'outcomes', 'deterioration', 'test_subject', 'side_effect', 'undergone', 'handicap', 'discovery', 'leukemia', 'hallucinations', 'cured', 'fathers_death', 'medically', 'function', 'memory_loss', 'specifics', 'testing', 'basis', 'medication', 'life_span', 'employment', 'therapists', 'abduction', 'alzheimer', 'improvement', 'mental_state', 'physical', 'serious_injuries', 'moreover', 'physical_activity', 'dosage', 'test_results', 'concerning', 'restriction', 'symptoms', 'underwent', 'schizophrenia', 'heart_disease', 'therapy_sessions', 'early_stages', 'illness', 'scans', 'withdrawal', 'conversion', 'detrimental', 'operation', 'functioning', 'examinations', 'premature', 'outbreak', 'pregnancy', 'illnesses', 'analysis', 'functions', 'examination', 'recovery', 'seizures', 'development', 'vaccine', 'ocd', 'minor', 'institution', 'surgeries', 'deteriorated', 'adolescence', 'trauma', 'conditions', 'remission', 'autism', 'immune_system', 'evaluation', 'symptom', 'obtaining', 'experiencing', 'prescribed', 'patient', 'condition', 'adhd', 'necessity', 'occurrence']",[154]
22,pride,['contentment'],"['pride', 'reveled', 'pure_joy', 'adoration', 'uncertainty', 'small_spark', 'bliss', 'relief', 'happiness', 'despair', 'warmness', 'ecstasy', 'weariness', 'familiar_warmth', 'content', 'longing', 'hopelessness', 'serenity', 'gentleness', 'lightness', 'resignation', 'euphoria', 'strange_sense', 'relished', 'overwhelming_feeling', 'calmness', 'gratefulness', 'eagerness', 'relishing', 'warmth', 'overwhelming_sense', 'wildness', 'softness', 'dread', 'pure_bliss', 'contentment', 'anguish', 'emptiness', 'contently', 'apprehension', 'pure_love', 'unease', 'yearning', 'contentedly', 'relaxation', 'exhilaration', 'melancholy', 'elation', 'giddiness', 'tenderness', 'helplessness', 'trepidation', 'pure_happiness', 'satisfaction', 'familiarity', 'nostalgia']",[34]
23,dispute,['talk'],"['talking', 'call', 'discuss', 'act', 'gossip', 'visit', 'listen', 'anyway', 'understand', 'prank', 'well', 'answer', 'anymore', 'talk', 'chat', 'rant', 'confront', 'mean', 'socialize', 'anything', 'stay', 'talks', 'guess', 'alone_time', 'lecture', 'warn', 'telling', 'forget', 'agree', 'blab', 'happen', 'wait', 'like', 'contact', 'interrupt', 'hangout', 'text', 'apologize', 'complain', 'gonna_talk', 'pester', 'friends', 'speak', 'saying', 'little_chat', 'worry', 'besides', 'deal', 'bug', 'dispute', 'need', 'little_talk', 'socialise', 'alone', 'lie', 'talked', 'ditch', 'anyways', 'why', 'invite', 'flirt', 'upset', 'argue', 'trust', 'ask', 'interrogate', 'explain', 'care', 'leave', 'date']",[89]
24,nervousness,['emotion'],"['uneasiness', 'determination', 'nervousness', 'empathy', 'other_emotions', 'uncertainty', 'smugness', 'hostility', 'deep_sadness', 'curiousity', 'indifference', 'much_emotion', 'disappointment', 'insecurity', 'aggression', 'sympathy', 'conflicting_emotions', 'anger', 'emotions', 'so_much_emotion', 'bitterness', 'remorse', 'expression', 'rage', 'longing', 'single_emotion', 'fierceness', 'malice', 'calmness', 'resentment', 'hurt', 'guilt', 'other_emotion', 'vulnerability', 'hatred', 'sincerity', 'jealously', 'seriousness', 'so_many_emotions', 'compassion', 'worry', 'grief', 'many_emotions', 'apprehension', 'fear', 'raw_emotion', 'contempt', 'intensity', 'regret', 'recognition', 'concern', 'conviction', 'sadness', 'emotion', 'sorrow', 'trepidation', 'body_language', 'animosity', 'desperation']",[30]
25,government,['embassy'],"['governor', 'military_base', 'royal_palace', 'dover', 'congress', 'oceania', 'rescue_team', 'versailles', 'senator', 'varden', 'embassy', 'ashford', 'baghdad', 'prime_minister', 'foreman', 'fallujah', 'city_hall', 'ambassador', 'norfolk', 'rendezvous', 'outpost', 'citadel', 'hq', 'executive', 'enterprise', 'buckingham_palace', 'senate', 'evacuation', 'nasa', 'york', 'court', 'solicitor', 'regiment', 'residency', 'province', 'providence', 'the_white_house', 'westminster', 'accommodation', 'head_quarters', 'informant', 'government', 'agency', 'cardinal', 'magistrate', 'palace', 'whiterun', 'reporting', 'overseeing', 'operative', 'contractor', 'crete', 'cathedral', 'police_department', 'convent', 'establishment', 'compound', 'other_duties', 'nobles', 'colonists', 'local_police', 'dea', 'fbi', 'prague', 'headquarters', 'construction_site', 'intrepid', 'shield', 'pentagon', 'higher_ups', 'wall_street', 'other_cities', 'higherups', 'opera_house', 'turks', 'mi6', 'parliament']",[6]
26,weakness,['meek'],"['amiable', 'terrifyingly', 'authoritative', 'fatherly', 'impulsive', 'reserved', 'exceedingly', 'uncaring', 'tentative', 'childlike', 'argumentative', 'malicious', 'disturbingly', 'meek', 'compelling', 'gruff', 'defiant', 'unafraid', 'unfriendly', 'dependable', 'abrasive', 'decidedly', 'shrewd', 'easygoing', 'timid', 'demure', 'condescending', 'mild', 'cynical', 'remarkably', 'compassionate', 'natured', 'lighthearted', 'aloof', 'dignified', 'fierce', 'brash', 'assertive', 'cultured', 'courageous', 'belligerent', 'apathetic', 'youthful', 'sullen', 'unforgiving', 'feeble', 'commanding', 'courteous', 'eloquent', 'cunning', 'refined', 'deceptively', 'callous', 'subdued', 'jovial', 'passive', 'articulate', 'decisive', 'weakness', 'unemotional', 'enigmatic', 'haughty', 'humble', 'docile', 'obedient', 'spoken']",[48]
