,categories,seedwords,words
10,cheerfulness,"['awed', 'heartfelt', 'cheerful', 'cheerfulness', 'happiness']","['comforting', 'joyous', 'gallant', 'childlike', 'stoicism', 'strange_way', 'pious', 'sensual', 'loving', 'cheerful', 'histrionic', 'solemn', 'wistfulness', 'great_gift', 'humble', 'uplifting', 'rueful', 'touching', 'sweetly', 'seductive', 'great_beauty', 'caring', 'sentimental', 'contented', 'radiant', 'mournful', 'gaiety', 'exalted', 'dutiful', 'worldly', 'mischievous', 'happiness', 'awed', 'melancholy', 'gentle', 'unconditional_love', 'irreverence', 'wistful', 'cathartic', 'carnal', 'romantic', 'contemplative', 'lovable', 'endearing', 'wry', 'eccentricities', 'gentleness', 'good_humor', 'cheerfulness', 'eternally', 'charming', 'graciousness', 'anguished', 'unforgettable', 'warm_smile', 'selfless', 'eccentricity', 'earnestness', 'heartfelt', 'affectionate', 'instinctive', 'indomitable', 'noble', 'joyful', 'sly', 'sardonic', 'worldliness', 'inspiring', 'selfawareness', 'friendliness', 'introspective', 'dignified', 'wondrous', 'knowing', 'gracious', 'touchingly', 'adoration', 'tenderness', 'guileless', 'contentment', 'saintly', 'redemptive', 'longing']"
11,aggression,"['cockiness', 'infuriate', 'violent', 'kill', 'lethal']","['virulent', 'brutal', 'viciously', 'predator', 'selfdefense', 'inflammatory', 'innocent_bystanders', 'deadly', 'inflict', 'cowardly', 'menacing', 'lethal', 'callous', 'maniac', 'violent', 'heinous', 'loathsome', 'delusional', 'intimidating', 'hateful', 'brazen', 'cruel', 'germs', 'aggression', 'fatal', 'senseless', 'abusive', 'innocent_civilians', 'frighten', 'vile', 'defenseless', 'malicious', 'explosive', 'barbaric', 'nonviolent', 'terrorist', 'indiscriminate', 'horrific', 'maim', 'infuriate', 'deranged', 'venom', 'menace', 'antisocial', 'crazies', 'despicable', 'repress', 'repulsive', 'savage', 'murder', 'physical_harm', 'belligerent', 'bullies', 'potent', 'brutalize', 'indiscriminately', 'torture', 'terrorize', 'inhumane', 'killer', 'physical_violence', 'suicidal', 'provocation', 'incite', 'castrated', 'psychotic', 'retribution', 'inhuman', 'poison', 'uncontrollable', 'frightening', 'kill', 'harmless', 'kills', 'bloody', 'killers', 'torment', 'murderous', 'rape', 'sting', 'monstrous', 'invulnerable', 'prey', 'insidious', 'destructive', 'attack', 'injure', 'terrifying', 'strangle', 'psychopath', 'dangerous', 'impotent', 'unstable', 'assault', 'paranoid', 'cockiness', 'extreme', 'innocent_people', 'innocents', 'murderers', 'threatening', 'rapists', 'pillage', 'wantonly', 'vicious', 'violently', 'degrading', 'reckless']"
12,occupation,"['detective', 'producer', 'executive', 'manager', 'therapist']","['salesman', 'therapist', 'supervisor', 'copywriter', 'william_morris_agency', 'mr_burke', 'programmer', 'manager', 'mr_arnold', 'investigator', 'headhunter', 'mr_russell', 'occupation', 'producer', 'director', 'human_resources_department', 'mr_daly', 'mr_montgomery', 'mr_jensen', 'technologist', 'agent', 'stockbroker', 'recruiter', 'detective', 'mr_rogers', 'consultant', 'public_relations_firm', 'officer', 'executive', 'publicist', 'mr_elliott']"
13,envy,"['discontent', 'vindictive', 'ambition', 'yearn', 'flaunt']","['yearn', 'alienation', 'yearnings', 'disdain', 'opportunism', 'bravado', 'arrogance', 'loathing', 'ugliness', 'ardor', 'aloofness', 'selfindulgence', 'timidity', 'ambivalence', 'hubris', 'restlessness', 'pretensions', 'prejudices', 'cynicism', 'fervor', 'disillusionment', 'ambition', 'ruthlessness', 'own_sense', 'insularity', 'yearning', 'materialism', 'disenchantment', 'passivity', 'stubbornness', 'good_manners', 'insecurity', 'idealism', 'discontent', 'audacity', 'distaste', 'impatience', 'indifference', 'vindictive', 'envy', 'resentments', 'selfishness', 'very_presence', 'flaunt', 'meanness', 'disaffection', 'longing', 'insecurities', 'naivete']"
14,anticipation,"['unsettle', 'feverishly', 'yearn', 'quake', 'impending']","['yearn', 'eruption', 'tremors', 'avalanches', 'droughts', 'american_bombs', 'earthquakes', 'unsettle', 'reverberations', 'hurricane', 'storms', 'hurricane_gilbert', 'hurricanes', 'stormy_weather', 'flooding', 'explosions', 'storm', 'cataclysm', 'flash_floods', 'thunderstorms', 'aftershocks', 'floods', 'widespread_damage', 'tragic_events', 'earthquake', 'bombardment', 'dislocations', 'mudslides', 'quakes', 'quake', 'devastating_earthquake', 'anticipation', 'cyclone', 'carnage', 'calamity', 'obliteration', 'epicenter', 'catastrophe', 'landslides', 'eclipse', 'torrential_rains', 'devastation', 'natural_disaster', 'eruptions', 'tornadoes', 'tidal_waves', 'calamities', 'tremor', 'typhoon', 'catastrophes', 'volcanic_eruptions', 'tidal_wave', 'blizzards', 'feverishly', 'tsunami', 'monsoon', 'upheavals', 'impending', 'little_damage', 'conflagration', 'tsunamis', 'turbulence', 'major_earthquake', 'typhoons', 'temblor']"
15,family,"['mom', 'nephew', 'grandparent', 'stepdaughter', 'grandmother']","['nicole', 'naomi', 'andrea', 'jessica', 'linda', 'sisterinlaw', 'paula', 'erica', 'niece', 'stepfather', 'greataunt', 'victor', 'nina', 'cynthia', 'older_sister', 'katherine', 'kathleen', 'nephew', 'motherinlaw', 'mother', 'aunt', 'ian', 'new_wife', 'shirley', 'stephen', 'denise', 'grandmother', 'robert', 'sandra', 'evelyn', 'patricia', '11yearold_daughter', 'gina', 'daughter', 'theresa', 'karen', 'christine', 'family', 'joshua', 'ann', 'kathy', 'younger_sister', 'jacqueline', 'janet', 'margaret', 'yvonne', 'twin_sister', 'donna', '3yearold_daughter', 'natalie', '4yearold_daughter', 'son', 'jean', 'carolyn', 'anita', 'michelle', 'granddaughter', 'betsy', 'stephanie', 'uncle', 'only_child', '3yearold_son', 'janice', 'ronald', 'cousin', 'sara', 'stepmother', 'maureen', 'fatherinlaw', 'nicholas', 'gregory', 'cindy', 'daughterinlaw', 'christina', 'jennifer', 'stepdaughter', 'edward', 'grandparent', 'greatgrandmother', 'mom', 'sue', 'brother', 'jeanne', 'sister', 'husband', 'melissa']"
16,vacation,"['summer', 'hiking', 'cruise', 'rental', 'lake']","['boardwalk', 'kayaking', 'trails', 'ski_slopes', 'the_grand_canyon', 'pond', 'trout_fishing', 'amusement_park', 'boat_trip', 'hiking', 'tram', 'slopes', 'boat_ride', 'sightseeing', 'summer', 'excursions', 'cruises', 'canoeing', 'swim', 'campground', 'cabins', 'montauk', 'waikiki', 'the_jersey_shore', 'picnic_lunch', 'cable_car', 'snorkeling', 'crosscountry_skiing', 'lodgings', 'excursion', 'day_trips', 'chairlifts', 'water_sports', 'hikers', 'scuba_diving', 'ski', 'bicycling', 'campgrounds', 'lodge', 'cruise_ships', 'resort', 'appalachian_trail', 'ski_area', 'mountain_biking', 'hiking_trails', 'biking', 'houseboats', 'summer_weekends', 'oahu', 'sailboat', 'boating', 'hikes', 'canoes', 'inn', 'jersey_shore', 'qe2', 'outfitter', 'maui', 'marina', 'day_trip', 'lodging', 'rental_car', 'beach', 'boaters', 'skiers', 'sailing', 'fishing', 'cruise', 'seashore', 'harbor', 'lake', 'skiing', 'vacationers', 'hike', 'camping', 'vacation', 'kayaks', 'horseback_riding', 'ferries', 'rental', 'rides', 'gondola', 'lagoon', 'swimming', 'rafting', 'rapids', 'kayak', 'aquarium', 'sailboats', 'lodges', 'back_country', 'resorts', 'kauai', 'canoe', 'snowmobile']"
17,crime,"['detective', 'accuse', 'criminally', 'rob', 'domestic']","['rapist', 'gambino', 'arrest', 'thief', 'scheming', 'mob', 'rape', 'kidnap', 'accused', 'burglar', 'ringleader', 'recklessly', 'mobster', 'hoodlums', 'rob', 'criminally', 'mobsters', 'real_killer', 'gang', 'accuse', 'mafia', 'undercover', 'criminal', 'accomplices', 'drug_dealer', 'apprehend', 'handcuff', 'fellow_officers', 'undercover_detective', 'prostitute', 'stalker', 'assault', 'policeman', 'crime', 'hit_men', 'cop', 'conspirators', 'fellow_officer', 'entrap', 'entrapped', 'domestic', 'racketeer', 'petty_crimes', 'petty', 'racketeers', 'accomplice', 'detective', 'drug_dealing', 'blackmail', 'alleged', 'allegedly', 'gang_member', 'robber', 'john_gotti', 'coconspirators', 'thugs', 'hit_man', 'informer', 'killers', 'gangsters', 'perpetrator', 'murder']"
18,attractive,"['alluring', 'cute', 'attractively', 'athletic', 'desirable']","['versatile', 'comforting', 'unsophisticated', 'obtrusive', 'distracting', 'scary', 'esthetically', 'ostentatious', 'resourceful', 'uncomplicated', 'intuitive', 'photogenic', 'tasteful', 'stuffy', 'feminine', 'unglamorous', 'masculine', 'egalitarian', 'intimidating', 'wholesome', 'pleasurable', 'adventurous', 'unfashionable', 'showy', 'fussy', 'seductive', 'unappealing', 'irritating', 'carefree', 'pleasing', 'functional', 'stylish', 'disciplined', 'athletic', 'flattering', 'hip', 'mature', 'macho', 'enticing', 'refined', 'desirable', 'glamorous', 'attractive', 'uncool', 'unnatural', 'gauche', 'agile', 'endearing', 'gorgeous', 'charming', 'classy', 'presentable', 'approachable', 'stimulating', 'flashy', 'individualistic', 'pretentious', 'immature', 'beautiful', 'adventuresome', 'dependable', 'challenging', 'sexy', 'alluring', 'discreet', 'sociable', 'corny', 'adorable', 'likable', 'outlandish', 'attractively', 'daring', 'picky', 'exciting', 'appealing', 'demanding', 'pretty', 'goofy', 'manly', 'quirky', 'finicky', 'gratifying', 'tacky', 'unattractive', 'cute', 'adaptable', 'dowdy', 'relaxing', 'engaging', 'civilized', 'imaginative']"
19,masculine,"['alluring', 'cockiness', 'attractively', 'athletic', 'cocky']","['cocky', 'rambunctious', 'versatile', 'mischievous', 'personable', 'undisciplined', 'sexy', 'alluring', 'unapproachable', 'likable', 'preternaturally', 'crafty', 'egotistical', 'steely', 'gallant', 'attractively', 'daring', 'resourceful', 'inquisitive', 'lithe', 'uptight', 'photogenic', 'driven', 'superstitious', 'gentlemanly', 'manly', 'goofy', 'demonstrative', 'agile', 'brash', 'boastful', 'humbling', 'physique', 'carefree', 'excitable', 'unselfish', 'ornery', 'athletically', 'masculine', 'classy', 'introverted', 'cockiness', 'talented', 'talkative', 'approachable', 'disciplined', 'athletic', 'easygoing', 'intimidating', 'scrappy', 'tenacious', 'extroverted', 'youthful', 'virile', 'flashy', 'unflappable', 'mercurial', 'feisty', 'headstrong', 'gutsy', 'reserved', 'temperamental', 'fearless', 'macho', 'petulant', 'immature', 'pushy', 'muscular']"
20,prison,"['gatekeeper', 'chain', 'kill', 'bail', 'abduct']","['rapist', 'federal_charges', 'arrest', 'federal_prison', 'convicted', 'rape', 'authorities', 'kidnap', 'raping', 'mr_trantino', 'kidnapping', 'other_inmates', 'felon', 'murdering', 'protective_custody', 'arrested', 'kidnapper', 'weapons_charges', 'armed_robbery', 'prison_sentence', 'accomplices', 'prison', 'dr_kevorkian', 'mr_gotti', 'drug_dealer', 'firearm', 'chain', 'murder_charges', 'ransom', 'kidnappers', 'county_jail', 'gunpoint', 'prison_term', 'trafficker', 'suspect', 'jail', 'detainee', 'drug_charges', 'abduct', 'jail_cell', 'prison_officials', 'mr_kopp', 'prison_guard', 'former_girlfriend', 'accomplice', 'handcuffs', 'gatekeeper', 'rikers_island', 'other_prisoners', 'mr_padilla', 'robbery', 'gang_member', 'inmate', 'parolee', 'allegedly', 'kill', 'custody', 'murder_charge', 'abducting', 'handgun', 'prison_authorities', 'convicted_felon', 'bail', 'life_sentence', 'misdemeanor_charge', 'felony_charge', 'attempted_murder', 'rearrested', 'murder']"
21,health,"['influenza', 'allergy', 'clinic', 'therapist', 'maternity']","['diagnosis', 'chronic_disease', 'detoxification', 'therapist', 'dermatologist', 'infected_patients', 'pain_management', 'young_patients', 'cystic_fibrosis', 'medication', 'kidney_failure', 'hearing_loss', 'general_anesthesia', 'asthma', 'medical_problems', 'chronic_pain', 'pulmonary', 'arthritis', 'hepatitis_c', 'spina_bifida', 'acupuncture', 'hospice_care', 'ulcers', 'emergency_room', 'herpes', 'migraines', 'psoriasis', 'aids_patient', 'high_fever', 'allergy', 'premature_infants', 'radiologist', 'patient', 'meningitis', 'psychotherapy', 'transplant_surgery', 'other_treatments', 'manicdepression', 'sloankettering', 'clinic', 'internist', 'neurologists', 'transfusion', 'rheumatoid_arthritis', 'angina', 'other_doctors', 'other_patients', 'bed_rest', 'standard_treatment', 'dr_epstein', 'other_ailments', 'infected_person', 'fevers', 'newborns', 'experimental_treatment', 'neurosurgeon', 'ritalin', 'neurologist', 'muscular_dystrophy', 'physician', 'chemotherapy', 'blood_transfusion', 'operating_room', 'kidney_disease', 'infertility', 'psychiatric', 'autism', 'maternity', 'respiratory', 'chest_pain', 'dementia', 'hospital_staff', 'cancer_patient', 'kidney_transplants', 'plastic_surgery', 'medical_problem', 'radiation_therapy', 'checkup', 'diabetic', 'several_doctors', 'cardiologist', 'strep_throat', 'few_patients', 'cancer_treatment', 'health', 'acupuncturist', 'psychiatrist', 'several_patients', 'epilepsy', 'mastectomy', 'emergency_room_doctors', 'therapists', 'urologist', 'pediatrician', 'family_doctor', 'childbirth', 'sleep_apnea', 'methadone', 'sexually_transmitted_disease', 'therapy', 'gynecologist', 'hemophilia', 'cardiologists', 'hypertension', 'lupus', 'allergies', 'ear_infections', 'dr_cohen', 'aids_patients', 'influenza', 'infectious_diseases', 'ultrasound', 'organ_transplants', 'more_patients', 'sufferers', 'checkups', 'many_patients', 'attention_deficit_disorder', 'endocrinologist', 'multiple_sclerosis', 'anesthesiologist', 'obstetrician', 'hysterectomy', 'glaucoma', 'diagnosing', 'occupational', 'infectious_disease', 'kidney_problems', 'chronic_illness', 'doctor', 'bone_marrow_transplant', 'obstetrics', 'incontinence', 'nurse', 'anesthesia', 'oncologist', 'dialysis', 'most_patients', 'patients', 'mastectomies', 'spinal_cord_injuries', 'physical_therapy', 'pediatricians', 'cerebral_palsy', 'amniocentesis', 'cancer_patients', 'injections', 'elderly_patients', 'older_patients', 'schizophrenia', 'outpatient', 'migraine_headaches', 'pediatric', 'chronic_fatigue_syndrome', 'oncologists', 'heart_problems', 'liposuction', 'acne']"
22,pride,"['integrity', 'happiness', 'heroism', 'overcome', 'righteousness']","['sanity', 'righteousness', 'bravery', 'decency', 'happiness', 'resourcefulness', 'courage', 'sincerity', 'fair_play', 'selfdelusion', 'overcome', 'civility', 'heroism', 'empathy', 'selflessness', 'ideals', 'strong_sense', 'tenacity', 'rightness', 'intellect', 'hubris', 'compassion', 'dignity', 'honesty', 'steadfastness', 'selfcontrol', 'religious_faith', 'detachment', 'human_spirit', 'fidelity', 'own_sense', 'pride', 'selfrespect', 'humility', 'fortitude', 'altruism', 'resilience', 'stubbornness', 'piety', 'good_manners', 'humanity', 'idealism', 'expediency', 'selfconfidence', 'constancy', 'perseverance', 'modesty', 'integrity', 'victimhood', 'benevolence', 'selfpreservation', 'rationality', 'selfknowledge', 'selfsacrifice', 'selfishness', 'persistence', 'nobility', 'candor']"
23,dispute,"['protest', 'controversial', 'adamantly', 'reasoning', 'rivalry']","['public_criticism', 'animosity', 'protest', 'protests', 'backlash', 'hostility', 'animus', 'maneuvering', 'opposition', 'heated_debate', 'reasoning', 'controversial', 'dissent', 'debate', 'namecalling', 'national_debate', 'squabbling', 'divisiveness', 'sniping', 'controversy', 'outcry', 'feud', 'public_debate', 'rhetoric', 'rivalry', 'ire', 'schism', 'rebuke', 'adamantly', 'criticism', 'dispute', 'furor', 'condemnation', 'antagonism', 'controversies', 'stance', 'uproar', 'argument']"
24,nervousness,"['unsettle', 'weariness', 'uneasiness', 'fear', 'anticipation']","['growing_sense', 'anxieties', 'annoyance', 'unsettle', 'pessimism', 'dread', 'frustration', 'disillusionment', 'trepidation', 'fears', 'mistrust', 'complacency', 'disgust', 'disaffection', 'indignation', 'inevitability', 'hesitancy', 'ambivalence', 'uneasiness', 'jitters', 'worries', 'cynicism', 'unhappiness', 'fear', 'weariness', 'resentment', 'anticipation', 'anger', 'agitation', 'elation', 'anxiety', 'revulsion', 'discouragement', 'disquiet', 'optimism', 'unease', 'discord', 'worry', 'gloom', 'apathy', 'disenchantment', 'distrust', 'insecurity', 'bewilderment', 'helplessness', 'hysteria', 'discontent', 'nervousness', 'apprehension', 'recrimination', 'resentments', 'euphoria', 'bitterness', 'indecision', 'panic', 'irritation', 'uncertainty', 'puzzlement', 'wariness', 'impatience']"
25,government,"['sector', 'negotiation', 'agency', 'protocol', 'jurisdiction']","['broad_authority', 'legal_basis', 'agencies', 'existing_system', 'current_regulations', 'statutory_authority', 'new_policy', 'local_government', 'environmental_agency', 'oversight', 'such_plans', 'the_department_of_defense', 'federal_government', 'new_arrangement', 'new_procedures', 'verification', 'purview', 'own_policies', 'current_policy', 'compliance', 'the_department_of_homeland_security', 'gatt', 'the_defense_department', 'new_measures', 'legal_requirements', 'protocol', 'proposed_legislation', 'individual_states', 'government_agencies', 'the_european_commission', 'such_decisions', 'jurisdiction', 'existing_law', 'american_law', 'regulatory_agencies', 'monitoring', 'planning_process', 'ftc', 'mandate', 'negotiation', 'implementation', 'new_regulations', 'commission', 'the_us_government', 'the_treasury_department', 'directive', 'proposed_rules', 'the_justice_department', 'executive_branch', 'agency', 'consent_decree', 'such_action', 'contingency', 'new_department', 'rtc', 'federal_laws', 'existing_rules', 'sector', 'federal_agency', 'other_agencies', 'independent_agency', 'federal_regulations', 'intelligence_gathering', 'state_regulators', 'new_rules', 'fcc', 'new_agreement', 'proposed_rule', 'authority', 'procedures', 'review_process', 'the_interior_department', 'the_transportation_department', 'wto', 'federal_law', 'state_agency', 'new_regulation', 'icann', 'existing_laws', 'safeguards', 'administration', 'national_policy', 'environmental_laws', 'broad_powers', 'policy', 'government_agency', 'the_department_of_justice', 'federal_agencies', 'government', 'regulatory_authority', 'enforcement', 'federal_rules', 'intelligence_community', 'regulations', 'proposed_agreement', 'regulatory_agency', 'legal_authority', 'new_policies', 'national_governments', 'national_government', 'entity', 'individual_countries', 'guidelines', 'new_rule', 'central_government', 'agreements', 'the_general_agreement_on_tariffs_and_trade', 'legal_framework', 'epa', 'new_legislation', 'regulatory_system', 'intelligence_agencies']"
